title,label,label_name,topic,word_count,term,count,density_per_1000
Evolutionärer Humanismus,0,contested,culture,4220,anscheinend,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,möglicherweise,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,mutmaßlich,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,scheinbar,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,schwerlich,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vermutlich,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,vielleicht,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,wahrscheinlich,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,wohl,1,0.23696682464454977
Evolutionärer Humanismus,0,contested,culture,4220,womöglich,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,angeblich,1,0.23696682464454977
Evolutionärer Humanismus,0,contested,culture,4220,vorgeblich,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,offenbar,1,0.23696682464454977
Evolutionärer Humanismus,0,contested,culture,4220,scheinen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,erscheinen,1,0.23696682464454977
Evolutionärer Humanismus,0,contested,culture,4220,vermuten,1,0.23696682464454977
Evolutionärer Humanismus,0,contested,culture,4220,annehmen,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,glauben,1,0.23696682464454977
Evolutionärer Humanismus,0,contested,culture,4220,zweifeln,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,bezweifeln,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,möglich,1,0.23696682464454977
Evolutionärer Humanismus,0,contested,culture,4220,unwahrscheinlich,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,fraglich,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,zweifelhaft,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,unsicher,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,unklar,1,0.23696682464454977
Evolutionärer Humanismus,0,contested,culture,4220,meiner Meinung nach,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,meines Erachtens,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,nach meiner Ansicht,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,nach meiner Einschätzung,0,0.0
Evolutionärer Humanismus,0,contested,culture,4220,soweit ich weiß,0,0.0
Ästhetische Theorie,1,stable,culture,3826,anscheinend,0,0.0
Ästhetische Theorie,1,stable,culture,3826,möglicherweise,0,0.0
Ästhetische Theorie,1,stable,culture,3826,mutmaßlich,0,0.0
Ästhetische Theorie,1,stable,culture,3826,scheinbar,0,0.0
Ästhetische Theorie,1,stable,culture,3826,schwerlich,0,0.0
Ästhetische Theorie,1,stable,culture,3826,vermutlich,0,0.0
Ästhetische Theorie,1,stable,culture,3826,vielleicht,0,0.0
Ästhetische Theorie,1,stable,culture,3826,wahrscheinlich,0,0.0
Ästhetische Theorie,1,stable,culture,3826,wohl,0,0.0
Ästhetische Theorie,1,stable,culture,3826,womöglich,0,0.0
Ästhetische Theorie,1,stable,culture,3826,angeblich,0,0.0
Ästhetische Theorie,1,stable,culture,3826,vorgeblich,0,0.0
Ästhetische Theorie,1,stable,culture,3826,offenbar,0,0.0
Ästhetische Theorie,1,stable,culture,3826,scheinen,0,0.0
Ästhetische Theorie,1,stable,culture,3826,erscheinen,2,0.5227391531625718
Ästhetische Theorie,1,stable,culture,3826,vermuten,0,0.0
Ästhetische Theorie,1,stable,culture,3826,annehmen,0,0.0
Ästhetische Theorie,1,stable,culture,3826,glauben,0,0.0
Ästhetische Theorie,1,stable,culture,3826,zweifeln,0,0.0
Ästhetische Theorie,1,stable,culture,3826,bezweifeln,0,0.0
Ästhetische Theorie,1,stable,culture,3826,möglich,1,0.2613695765812859
Ästhetische Theorie,1,stable,culture,3826,unwahrscheinlich,0,0.0
Ästhetische Theorie,1,stable,culture,3826,fraglich,0,0.0
Ästhetische Theorie,1,stable,culture,3826,zweifelhaft,0,0.0
Ästhetische Theorie,1,stable,culture,3826,unsicher,0,0.0
Ästhetische Theorie,1,stable,culture,3826,unklar,0,0.0
Ästhetische Theorie,1,stable,culture,3826,meiner Meinung nach,0,0.0
Ästhetische Theorie,1,stable,culture,3826,meines Erachtens,0,0.0
Ästhetische Theorie,1,stable,culture,3826,nach meiner Ansicht,0,0.0
Ästhetische Theorie,1,stable,culture,3826,nach meiner Einschätzung,0,0.0
Ästhetische Theorie,1,stable,culture,3826,soweit ich weiß,0,0.0
Franz Eibel,0,contested,geography,2499,anscheinend,0,0.0
Franz Eibel,0,contested,geography,2499,möglicherweise,0,0.0
Franz Eibel,0,contested,geography,2499,mutmaßlich,0,0.0
Franz Eibel,0,contested,geography,2499,scheinbar,0,0.0
Franz Eibel,0,contested,geography,2499,schwerlich,0,0.0
Franz Eibel,0,contested,geography,2499,vermutlich,1,0.4001600640256103
Franz Eibel,0,contested,geography,2499,vielleicht,0,0.0
Franz Eibel,0,contested,geography,2499,wahrscheinlich,0,0.0
Franz Eibel,0,contested,geography,2499,wohl,0,0.0
Franz Eibel,0,contested,geography,2499,womöglich,0,0.0
Franz Eibel,0,contested,geography,2499,angeblich,0,0.0
Franz Eibel,0,contested,geography,2499,vorgeblich,0,0.0
Franz Eibel,0,contested,geography,2499,offenbar,0,0.0
Franz Eibel,0,contested,geography,2499,scheinen,0,0.0
Franz Eibel,0,contested,geography,2499,erscheinen,0,0.0
Franz Eibel,0,contested,geography,2499,vermuten,0,0.0
Franz Eibel,0,contested,geography,2499,annehmen,0,0.0
Franz Eibel,0,contested,geography,2499,glauben,0,0.0
Franz Eibel,0,contested,geography,2499,zweifeln,0,0.0
Franz Eibel,0,contested,geography,2499,bezweifeln,0,0.0
Franz Eibel,0,contested,geography,2499,möglich,0,0.0
Franz Eibel,0,contested,geography,2499,unwahrscheinlich,0,0.0
Franz Eibel,0,contested,geography,2499,fraglich,0,0.0
Franz Eibel,0,contested,geography,2499,zweifelhaft,0,0.0
Franz Eibel,0,contested,geography,2499,unsicher,0,0.0
Franz Eibel,0,contested,geography,2499,unklar,0,0.0
Franz Eibel,0,contested,geography,2499,meiner Meinung nach,0,0.0
Franz Eibel,0,contested,geography,2499,meines Erachtens,0,0.0
Franz Eibel,0,contested,geography,2499,nach meiner Ansicht,0,0.0
Franz Eibel,0,contested,geography,2499,nach meiner Einschätzung,0,0.0
Franz Eibel,0,contested,geography,2499,soweit ich weiß,0,0.0
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,anscheinend,0,0.0
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,möglicherweise,3,1.4097744360902256
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,mutmaßlich,0,0.0
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,scheinbar,0,0.0
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,schwerlich,0,0.0
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,vermutlich,1,0.4699248120300752
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,vielleicht,0,0.0
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,wahrscheinlich,10,4.6992481203007515
Wieladingen (Adelsgeschlecht),1,stable,geography,2128,wohl,2,0.9398496240601504
